Ação;Data Entrada;Valor Entrada;Quantidade;Investimento Total;Ação Vendida;Ação na carteira;Valor_Atualizado;Investimento_Atualizado;LucroPreju;Percentual_Lucro_Ou_Preju
BRPR3.SA;2020-01-22;15.5;20;310.0;0;True;9.22;184.4;-125.6;-40.52
GGBR4.SA;2019-10-23;13.35;18;240.3;0;True;34.3;617.4;377.1;156.93
GGBR4.SA;2020-01-20;21.57;20;431.4;0;True;34.3;686.0;254.6;59.02
GFSA3.SA;2019-10-28;5.78;20;115.6;0;True;4.46;89.2;-26.4;-22.84
AZUL4.SA;2019-10-28;52.73;2;105.46;0;True;40.21;80.42;-25.04;-23.74
AZUL4.SA;2020-03-16;20.05;13;260.65;0;True;40.21;522.73;262.08;100.55
PETR4.SA;2019-12-19;30.52;12;366.24;0;True;25.93;311.16;-55.08;-15.04
PETR4.SA;2021-03-02;21.58;5;107.9;0;True;25.93;129.65;21.75;20.16
PETR4.SA;2021-03-09;21.59;4;86.36;0;True;25.93;103.72;17.36;20.1
PETR4.SA;2021-03-16;23.38;2;46.76;0;True;25.93;51.86;5.1;10.91
BPAC11.SA;2020-01-06;76.56;7;535.92;0;True;119.31;835.17;299.25;55.84
LCAM3.SA;2020-01-13;24.6;3;73.8;0;True;26.29;78.87;5.07;6.87
POSI3.SA;2020-01-13;10.01;3;30.03;0;True;12.56;37.68;7.65;25.47
TCSA3.SA;2020-01-13;18.7;10;187.0;0;True;8.2;82.0;-105.0;-56.15
CCPR3.SA;2020-01-13;25.96;6;155.76;0;True;12.6;75.6;-80.16;-51.46
CCPR3.SA;2020-01-27;24.39;19;463.41;0;True;12.6;239.4;-224.01;-48.34
ENEV3.SA;2020-01-13;45.8;4;183.2;0;True;16.88;67.52;-115.68;-63.14
ENEV3.SA;2020-01-27;45.62;8;364.96;0;True;16.88;135.04;-229.92;-63.0
LIGT3.SA;2020-01-13;23.32;12;279.84;0;True;17.09;205.08;-74.76;-26.72
AMAR3.SA;2020-01-13;14.33;2;28.66;0;True;6.66;13.32;-15.34;-53.52
CARD3.SA;2020-01-13;14.05;2;28.1;0;True;24.1;48.2;20.1;71.53
TRIS3.SA;2020-01-14;16.6;1;16.6;0;True;10.49;10.49;-6.11;-36.81
MRVE3.SA;2020-01-15;22.02;15;330.3;0;True;17.78;266.7;-63.6;-19.26
BBSE3.SA;2020-01-15;36.7;14;513.8;0;True;23.63;330.82;-182.98;-35.61
BBSE3.SA;2020-03-27;24.71;15;370.65;0;True;23.63;354.45;-16.2;-4.37
RAPT4.SA;2020-01-20;14.68;21;308.28;0;True;14.93;313.53;5.25;1.7
RAPT4.SA;2020-06-24;9.83;10;98.3;0;True;14.93;149.3;51.0;51.88
MEAL3.SA;2020-01-23;8.52;45;383.4;0;True;3.86;173.7;-209.7;-54.69
SMTO3.SA;2020-01-27;26.58;23;611.34;0;True;33.67;774.41;163.07;26.67
LOGG3.SA;2020-01-27;32.87;18;591.66;0;True;29.39;529.02;-62.64;-10.59
JPSA3.SA;2020-01-27;38.4;11;422.4;0;True;29.42;323.62;-98.78;-23.39
CMIG4.SA;2020-01-28;15.27;25;381.75;0;True;13.06;326.5;-55.25;-14.47
CCRO3.SA;2020-01-28;19.4;20;388.0;0;True;13.68;273.6;-114.4;-29.48
UNIP6.SA;2020-01-28;38.1;5;190.5;0;True;88.01;440.05;249.55;131.0
LOGN3.SA;2020-01-29;24.69;18;444.42;0;True;19.0;342.0;-102.42;-23.05
WIZS3.SA;2020-02-03;15.65;10;156.5;0;True;12.38;123.8;-32.7;-20.89
TIMS3.SA;2020-02-03;16.63;20;332.6;0;True;11.97;239.4;-93.2;-28.02
TIMS3.SA;2020-04-28;12.54;30;376.2;0;True;11.97;359.1;-17.1;-4.55
RSID3.SA;2020-02-03;9.08;1;9.08;0;True;11.25;11.25;2.17;23.9
SLCE3.SA;2020-02-05;23.57;8;188.56;0;True;49.09;392.72;204.16;108.27
ODPV3.SA;2020-02-05;17.76;15;266.4;0;True;13.1;196.5;-69.9;-26.24
ODPV3.SA;2020-09-17;12.7;2;25.4;0;True;13.1;26.2;0.8;3.15
CPLE3.SA;2020-02-10;78.1;2;156.2;0;True;5.51;11.02;-145.18;-92.94
KEPL3.SA;2020-02-10;30.0;4;120.0;0;True;52.24;208.96;88.96;74.13
ANIM3.SA;2020-02-10;37.13;6;222.78;0;True;12.28;73.68;-149.1;-66.93
NEOE3.SA;2020-02-10;26.75;9;240.75;0;True;17.62;158.58;-82.17;-34.13
PSSA3.SA;2020-02-10;66.3;3;198.9;0;True;51.58;154.74;-44.16;-22.2
PSSA3.SA;2020-03-27;46.65;7;326.55;0;True;51.58;361.06;34.51;10.57
BEES3.SA;2020-02-17;7.44;8;59.52;0;True;5.09;40.72;-18.8;-31.59
CAML3.SA;2020-02-19;9.34;12;112.08;0;True;9.65;115.8;3.72;3.32
MRFG3.SA;2020-03-02;12.22;5;61.1;0;True;19.04;95.2;34.1;55.81
MRFG3.SA;2020-03-18;6.58;40;263.2;0;True;19.04;761.6;498.4;189.36
MRFG3.SA;2020-06-05;12.78;10;127.8;0;True;19.04;190.4;62.6;48.98
POMO4.SA;2020-03-02;5.13;12;61.56;0;True;2.84;34.08;-27.48;-44.64
TEND3.SA;2020-03-02;36.9;2;73.8;0;True;24.65;49.3;-24.5;-33.2
WEGE3.SA;2020-03-10;41.75;6;250.5;0;True;31.86;191.16;-59.34;-23.69
EQTL3.SA;2020-03-10;22.75;10;227.5;0;True;25.73;257.3;29.8;13.1
SBFG3.SA;2020-03-10;38.6;13;501.8;0;True;28.71;373.23;-128.57;-25.62
CVCB3.SA;2020-03-16;12.31;16;196.96;0;True;23.82;381.12;184.16;93.5
CVCB3.SA;2020-04-23;14.26;30;427.8;0;True;23.82;714.6;286.8;67.04
CVCB3.SA;2020-05-04;12.63;15;189.45;0;True;23.82;357.3;167.85;88.6
SMLS3.SA;2020-03-16;16.58;15;248.7;0;True;22.28;334.2;85.5;34.38
MGLU3.SA;2020-03-16;35.0;10;350.0;0;True;18.74;187.4;-162.6;-46.46
MGLU3.SA;2020-03-16;36.73;10;367.3;0;True;18.74;187.4;-179.9;-48.98
MGLU3.SA;2020-03-18;31.16;8;249.28;0;True;18.74;149.92;-99.36;-39.86
MGLU3.SA;2020-04-03;35.09;5;175.45;0;True;18.74;93.7;-81.75;-46.59
MGLU3.SA;2020-04-03;34.85;10;348.5;0;True;18.74;187.4;-161.1;-46.23
MGLU3.SA;2021-01-07;23.2;2;46.4;0;True;18.74;37.48;-8.92;-19.22
MGLU3.SA;2021-03-17;23.53;10;235.3;0;True;18.74;187.4;-47.9;-20.36
MGLU3.SA;2021-04-07;20.17;1;20.17;0;True;18.74;18.74;-1.43;-7.09
GOLL4.SA;2020-03-16;9.28;18;167.04;0;True;25.94;466.92;299.88;179.53
VVAR3.SA;2020-03-16;8.67;45;390.15;0;True;11.91;535.95;145.8;37.37
VVAR3.SA;2020-03-18;5.27;60;316.2;0;True;11.91;714.6;398.4;126.0
VVAR3.SA;2020-03-18;4.63;80;370.4;0;True;11.91;952.8;582.4;157.24
VVAR3.SA;2020-04-03;4.05;80;324.0;0;True;11.91;952.8;628.8;194.07
VVAR3.SA;2021-04-16;12.72;7;89.04;0;True;11.91;83.37;-5.67;-6.37
