Ação;Data Entrada;Valor Entrada;Quantidade;Investimento Total; Juros sobre capital ; Dividendos ; Rendimentos ;Indicação;Ação Vendida;Valor Venda;Data Venda
CAML3.SA;2020-02-19;9.34;12;112.08;0;0;0;Aplike.me;0;;
SUZB3.SA;2020-02-19;40.50;3;121.5;0;0;0;Aplike.me;0;;
LAME4.SA;2020-03-02;26.13;3;78.39;0;0;0;Aplike.me;1;27.46;2020-03-04
MRFG3.SA;2020-03-02;12.22;5;61.1;0;0;0;Aplike.me;0;;
POMO4.SA;2020-03-02;5.13;12;61.56;0;0;0;Aplike.me;0;;
TEND3.SA;2020-03-02;36.90;2;73.8;0;0;0;Aplike.me;0;;
WEGE3.SA;2020-03-02;45.59;3;136.77;0;0;0;Aplike.me;1;49.28;2020-03-04
SBFG3.SA;2020-03-10;38.60;13;501.8;0;0;0;Aplike.me;0;;
EQTL3.SA;2020-03-10;22.75;10;227.5;0;0;0;Aplike.me;0;;
SHUL4.SA;2020-03-10;12.36;42;519.12;0;0;0;Aplike.me;1;12.51;2020-03-11
TIMS3.SA;2020-03-10;15.37;32;491.84;0;0;0;Aplike.me;1;15.99;2020-03-11
WEGE3.SA;2020-03-10;41.75;6;250.5;0;0;0;Aplike.me;0;;
MGLU3.SA;2020-03-16;36.73;10;367.3;0;0;0;Aplike.me;0;;
VVAR3.SA;2020-03-16;8.67;45;390.15;0;0;0;Aplike.me;0;;
AZUL4.SA;2020-03-16;20.05;13;260.65;0;0;0;Aplike.me;0;;
GOLL4.SA;2020-03-16;9.28;18;167.04;0;0;0;Aplike.me;0;;
SULA11.SA;2020-03-16;31.70;5;158.5;0;0;0;Aplike.me;0;;
CVCB3.SA;2020-03-16;12.31;16;196.96;0;0;0;Aplike.me;0;;
SMLS3.SA;2020-03-16;16.58;15;248.7;0;0;0;Aplike.me;0;;
MGLU3.SA;2020-03-16;35.00;10;350;0;0;0;Aplike.me;0;;
VVAR3.SA;2020-03-18;4.63;80;370.4;0;0;0;Aplike.me;0;;
VVAR3.SA;2020-03-18;5.27;60;316.2;0;0;0;Aplike.me;0;;
MGLU3.SA;2020-03-18;31.16;8;249.28;0;0;0;Aplike.me;0;;
B3SA3.SA;2020-03-18;30.90;8;247.2;0;0;0;Aplike.me;0;;
MRFG3.SA;2020-03-18;6.58;40;263.2;0;0;0;Aplike.me;0;;
PSSA3.SA;2020-03-27;46.65;7;326.55;0;0;0;Aplike.me;0;;
VULC3.SA;2020-03-27;4.42;66;291.72;0;0;0;Aplike.me;0;;
BBSE3.SA;2020-03-27;24.71;15;370.65;0;0;0;Aplike.me;0;;
MGLU3.SA;2020-04-03;34.85;10;348.5;0;0;0;Aplike.me;0;;
GUAR3.SA;2020-04-03;9.73;30;291.9;0;0;0;Aplike.me;0;;
MOVI3.SA;2020-04-03;7.41;50;370.5;0;0;0;Aplike.me;0;;
JHSF3.SA;2020-04-03;2.93;200;586;0;0;0;Aplike.me;0;;
VVAR3.SA;2020-04-03;4.05;80;324;0;0;0;Aplike.me;0;;
MGLU3.SA;2020-04-03;35.09;5;175.45;0;0;0;Aplike.me;0;;
ITSA4.SA;2020-04-20;8.97;60;538.2;0;0;0;Dividendos;0;;
TAEE11.SA;2020-04-20;26.74;50;1337;0;0;0;Dividendos;0;;
TIET11.SA;2020-04-20;14.89;50;744.5;0;0;0;Dividendos;0;;
IRBR3.SA;2020-04-23;10.59;40;423.6;0;0;0;Oportunidade;0;;
CVCB3.SA;2020-04-23;14.26;30;427.8;0;0;0;Oportunidade;0;;
TIMS3.SA;2020-04-28;12.54;30;376.2;0;0;0;Oportunidade;0;;
EMBR3.SA;2020-05-04;7.73;15;115.95;0;0;0;Oportunidade;0;;
CVCB3.SA;2020-05-04;12.63;15;189.45;0;0;0;Oportunidade;0;;
IVVB11.SA;2020-05-04;168.67;1;168.67;0;0;0;Oportunidade;0;;
SUZB3.SA;2020-05-27;38.16;15;572.4;0;0;0;Dalton;0;;
BRFS3.SA;2020-06-05;22.64;14;316.96;0;0;0;TradeMap;0;;
MRFG3.SA;2020-06-05;12.78;10;127.8;0;0;0;TradeMap;0;;
KLBN11.SA;2020-06-05;19.16;18;344.88;0;0;0;TradeMap;0;;
SUZB3.SA;2020-06-05;38.31;5;191.55;0;0;0;TradeMap;0;;
RAPT4.SA;2020-06-24;9.83;10;98.3;0;0;0;;0;;
B3SA3.SA;2020-09-16;57.67;5;288.35;0;0;0;;0;;
ODPV3.SA;2020-09-17;12.7;2;25.4;0;0;0;;0;;
OMGE3.SA;2020-12-09;38.02;1;38.02;0;0;0;;0;;
OMGE3.SA;2020-12-09;38.11;3;114.33;0;0;0;;0;;
OMGE3.SA;2020-12-09;37.87;1;37.87;0;0;0;;0;;
SAPR11.SA;2020-12-09;26.5;2;53;0;0;0;;0;;
BBDC4.SA;2021-01-04;26.36;3;79.08;0;0;0;;0;;
MGLU3.SA;2021-01-07;23.20;2;46.4;0;0;0;;0;;
LAME4.SA;2021-02-17;24.34;3;73.02;0;0;0;;0;;
PETR4.SA;2021-03-02;21.58;5;107.9;0;0;0;;0;;
PETR4.SA;2021-03-09;21.59;4;86.36;0;0;0;;0;;
BRFS3.SA;2021-03-16;24.37;2;48.74;0;0;0;;0;;
JHSF3.SA;2021-03-16;6.66;20;133.2;0;0;0;;0;;
PETR4.SA;2021-03-16;23.38;2;46.76;0;0;0;;0;;
SANB11.SA;2021-03-16;38.57;2;77.14;0;0;0;;0;;
BBDC4.SA;2021-03-17;25.63;6;153.78;0;0;0;;0;;
IRBR3.SA;2021-03-17;6.04;2;12.08;0;0;0;;0;;
MGLU3.SA;2021-03-17;23.53;10;235.3;0;0;0;;0;;
MGLU3.SA;2021-04-07;20.17;1;20.17;0;0;0;;0;;
CPLE6.SA;2021-04-07;6.39;1;6.39;0;0;0;;0;;
BEEF3.SA;2021-04-16;10.69;9;96.21;0;0;0;;0;;
VVAR3.SA;2021-04-16;12.72;7;89.04;0;0;0;;0;;
